x,y
1,0.0
2,0.0
3,0.0
4,1.691862878604528
5,1.696850022836432
6,4.794006675005783
7,2.229910312097776
8,4.77579312784798
9,3.2968469785539027
10,4.150048192491263
11,4.478772153168768
12,3.6329877511491833
13,4.959042246240699
14,4.833890772452352
15,4.833890772452352
16,3.105430726968483
17,0.5300943312279429
18,3.360133925902359
19,2.3117525819170184
20,2.3117525819170184
21,2.3117525819170184
22,4.8459467599221515
23,2.200568108466539
24,4.858446253690577
25,3.81064299036265
26,3.81064299036265
