x,y
1,0
2,0
3,0
4,1.694537393915129
5,1.6961692337979881
6,4.791355316424817
7,1.839680854298795
8,4.7726089961761025
9,3.296614946956744
10,4.154443108211184
11,4.478447227618482
12,3.6340316647722206
13,4.964354007588463
14,4.831389480000531
15,4.831389480000516
16,3.106488649658954
17,0.5324878496059168
18,3.3639635879052214
19,2.3146525870070778
20,2.3146525870070778
21,2.3146525870070778
22,4.8489281215319835
23,2.2011773379549506
24,4.863821924550885
25,3.812586965751767
26,3.812586965751765
