x,y
1,5.0990195135927845
2,5.0990195135927845
3,5.0990195135927845
4,4.812120114876602
5,4.804039966528173
6,1.7426990560621762
7,4.58245567354448
8,1.7938784797192924
9,3.8891258657955516
10,2.9542680988698367
11,2.4429490375363954
12,3.579175882797603
13,1.1637869220780925
14,1.63
15,1.63
16,4.039826728957568
17,5.074662550357412
18,3.826878623630491
19,4.546702101523697
20,4.546702101523697
21,4.546702101523697
22,1.5764834283937146
23,4.601847455098876
24,1.532644772933376
25,3.3811980125393424
26,3.3811980125393424
