x,y
1,5.0990195135927845
2,5.099019513592789
3,5.099019513592783
4,4.809214387051518
5,4.80863909337321
6,1.744395090502035
7,4.755583492519751
8,1.7950496844430088
9,3.890029548923938
10,2.956450990738119
11,2.43793158834207
12,3.57684412009142
13,1.1641259757174394
14,1.6302379251319552
15,1.6302379251319552
16,4.043479722904311
17,5.071139584947381
18,3.8319380187114302
19,4.543388977565066
20,4.5433889775650655
21,4.5433889775650655
22,1.5773065878942405
23,4.599436740175019
24,1.5307633018387394
25,3.385879594518657
26,3.385879594518657
